FullName,Email,Phone,Address,JobTitle,DateOfBirth,Age,Gender,Marriage,Children,FamilySize,Education,Income,HouseOwn,CarOwn,CallsNum,CallsMinutes,SmsSent,SmsVar,Periodicity,SlopeCalls,MobilityClusters,SocialStability,SocialExposure,SocialQuality,MobileMoneyTx,AirtimeTopups,NumFinancialAppsInstalled,NumFinancialAppsUsed,SMSTx_P2P_Count_30d,SMSTx_BillPay_Count_30d,SMSTx_Merchant_Count_30d,SMSTx_Amt_Mean_30d,SMSTx_Amt_CV_30d,SMSTx_OnTimeBillPay_Rate,SMSTx_NightShare,SM_Platforms_Installed,SM_MinutesPerDay,SM_PostsPerWeek,SM_NightUsageShare,SM_Sentiment_Polarity,Apps_TotalInstalled,Apps_SessionsPerDay,Apps_ForegroundMinPerDay,Apps_BackgroundMBPerDay,Apps_Time_ProductivityMin,Apps_Time_GamingMin,Apps_Time_FinanceMin,Apps_ChurnRate_30d,Apps_RiskyCount
Sydney Lopez,fuentesalyssa@yahoo.com,630-958-7011,"7131 Joshua Club Apt. 171, West Richardberg, VT 50784",Paramedic,05-04-1987,37,Male,Single,1,2,Secondary,2036,1,0,33,4,0,-0.28,-1.66,1.16,3,0.82,0.69,0.27,3,1,2,1,2,4,3,12.65,0.72,0.95,0,1,62,0,0.29,0.45,41,21,0,123.5,45,0,7,0.14,1
Ashley Pierce,shawn87@yahoo.com,462.377.2712,"862 Collins Throughway Apt. 703, Lisaville, NH 20918",Recycling officer,06-10-2006,18,Female,Single,0,1,Tertiary,4055,1,1,53,9,78,-0.26,0.17,-0.15,3,0.18,0.92,0.7,10,3,2,2,1,5,4,18.93,0.3,0.74,0.14,1,79,0,0.19,0.35,23,23,149,33.8,11,90,9,0.28,1
Jane Mann,samuelmartinez@gmail.com,931-939-0273x4609,"2659 Neal Village Suite 543, North Luis, MI 89375",IT technical support officer,23-03-1991,33,Male,Married,1,3,Tertiary,3201,0,0,45,84,31,-0.01,-0.67,-0.82,9,0.93,0.31,0.22,3,5,0,1,3,3,3,38.8,1.21,0.93,0.07,4,77,7,0.42,0.21,20,35,68,333.1,26,0,12,0.15,0
Adam Saunders,lesliemartinez@hotmail.com,+1-695-757-9308x71948,"90217 Dustin Hollow, South Jacob, SD 24057",Audiological scientist,01-05-1999,25,Male,Single,0,1,Secondary,2149,1,0,43,49,68,-0.76,1.69,-0.32,5,0.12,0.49,0.09,10,2,0,0,3,5,2,27.05,0.91,0.5,0.26,2,79,4,0.36,-0.34,67,19,404,352.4,101,0,18,0.15,1
Derek Black,akrause@gmail.com,547-638-6035x611,"63545 Kristin Prairie, Davisland, GU 62376",Academic librarian,01-06-1980,44,Male,Single,1,3,Tertiary,1172,1,0,70,49,49,2.3,1.68,3.19,5,0.21,0.72,0.76,3,7,4,0,3,0,2,71.93,0.74,0.81,0.21,0,168,6,0.03,-0.01,25,49,119,333.9,56,9,30,0.1,0
Andrew Parker,xwilson@gmail.com,700.771.2851,"04540 Evan Stream Suite 664, Crawfordland, GU 45459","Embryologist, clinical",16-01-1987,37,Male,Married,1,2,Tertiary,2718,0,0,63,55,41,0.89,-0.3,-1.58,5,0.37,0.71,0.09,0,5,2,0,3,8,3,42.61,0.58,0.7,0.28,1,207,1,0,0.02,28,31,307,140.2,55,82,71,0.24,2
Daniel Thomas,harrelldonna@hotmail.com,629.845.6066x96591,"753 Amy Glen, Lake Makayla, MT 83369",Market researcher,17-06-2006,18,Female,Single,1,2,Secondary,3856,0,0,52,3,27,-0.4,1.4,1.02,5,1,0.38,0.72,4,6,3,5,2,3,3,17.6,0.05,0.77,0.22,5,60,11,0.37,-0.33,71,30,206,81,68,47,0,0.11,2
Debra Moore,andreallen@hotmail.com,(461)641-8613x00727,"54026 Boyer Junctions Suite 376, Caseyberg, IL 68560",Event organiser,21-08-1983,41,Male,Married,4,6,Secondary,2772,1,1,6,24,27,0.11,-0.76,0.76,5,0.02,0.42,0.17,9,3,0,2,3,4,3,29.07,0.87,0.96,0.14,0,50,18,0.36,-0.01,60,40,277,267.5,47,0,29,0.08,3
Jonathan Graves,kararamirez@yahoo.com,926.581.3413,"PSC 6226, Box 6210, APO AE 39845","Engineer, land",20-12-1978,46,Female,Single,0,2,Secondary,3785,0,0,28,94,20,-0.33,0.45,-1.08,5,0.52,0.04,0.57,2,6,0,1,4,3,4,9.47,0.79,0.76,0.34,3,118,9,0.24,-0.26,40,11,76,246.7,58,46,29,0.1,4
Marcus Turner,zatkinson@gmail.com,6016361352,"625 Christopher Cliff Suite 201, New Amanda, NY 73172",Secondary school teacher,16-06-2006,18,Female,Single,0,2,Secondary,1791,1,0,70,51,22,0.54,-0.85,0.06,6,0.92,0.47,1,0,4,1,0,3,10,3,63.5,0.54,0.99,0.18,0,101,7,0.13,0.09,2,33,65,133.3,36,83,36,0.38,0
Austin Colon,jenniferknight@gmail.com,619.630.2973x11751,"45685 Logan Squares Suite 194, New Kellyburgh, MO 17774",Risk analyst,19-02-1979,45,Male,Married,4,6,Secondary,6196,1,0,6,63,40,0.55,-0.82,-0.35,3,0.25,0.72,0.79,7,3,2,0,6,6,3,30.75,0.85,0.93,0.02,2,33,6,0.21,0.23,36,25,5,150.3,36,100,60,0.12,3
Mrs. Monique Franco,jonathan78@gmail.com,+1-829-805-7632x3986,"8019 Keith Meadow, New Annmouth, PW 64144",Forest/woodland manager,24-06-2006,18,Male,Single,0,2,Secondary,1566,0,1,61,109,67,-0.8,0.42,1.18,2,0.07,0.97,0.91,2,6,2,0,6,4,0,48.76,1,0.89,0.25,0,104,7,0,-0.39,81,32,406,26.6,70,64,14,0.24,0
Eric Watson,xhall@hotmail.com,495.346.3252x4713,"182 Douglas Spur Apt. 088, West Thomasshire, IA 13014",Plant breeder/geneticist,28-06-1997,27,Male,Single,1,2,Primary,4749,1,0,27,7,45,-0.11,-0.24,-0.7,4,0.06,0.04,0.74,7,1,2,0,1,1,3,18.55,1.45,0.91,0.22,1,155,2,0.25,0.77,16,26,84,158.8,45,0,11,0.11,0
Daniel Davies,heatherboyer@hotmail.com,558-791-8482x9889,"518 Allison Trail, Mathisview, VT 79365",Occupational hygienist,26-08-1990,34,Male,Married,5,7,Secondary,3828,1,0,0,35,73,0.07,1.32,0.39,3,0.8,0.79,0.93,5,1,0,0,3,8,1,54.65,0.89,1,0.15,3,113,6,0.31,0.16,61,4,316,135.9,39,91,0,0.08,4
Allison James,wendy26@yahoo.com,001-763-366-9628,"867 James Mount Apt. 890, Martinbury, NY 43125",Charity fundraiser,23-01-1987,37,Female,Married,3,4,Tertiary,527,0,0,12,50,85,0.09,-0.3,-0.84,3,0.27,0.78,0.93,11,4,1,0,6,6,3,50.72,0.97,0.85,0.23,1,130,6,0.12,0.13,10,17,164,0,38,59,8,0.14,0
James Spencer,rsmith@gmail.com,829.273.7350x126,"006 Jeffrey Corners Apt. 661, Hernandezchester, VT 32072","Sound technician, broadcasting/film/video",23-05-1991,33,Male,Married,1,2,Tertiary,3418,0,0,32,2,45,1.05,0.21,-0.34,9,0.01,0.96,0.62,10,6,4,4,7,1,1,15.48,0.84,0.74,0.3,5,89,0,0.29,0,59,13,172,311.4,12,70,10,0.22,4
Michael Hill,erica95@yahoo.com,386-296-4990x57942,"6689 Elliott Cove, West Daniel, GA 41620","Editor, film/video",05-12-1973,51,Female,Single,1,3,Tertiary,3329,0,0,32,39,21,-0.85,-0.6,-0.01,4,0.72,0.25,0.25,6,4,3,6,5,8,1,69.39,0.47,0.53,0.04,0,77,13,0.31,0.39,30,2,11,184.4,6,0,83,0.07,6
Timothy Anderson,crawfordjerry@yahoo.com,(721)508-2432x2411,"08886 Julie Divide Suite 142, East Adrianview, PA 37204",Community arts worker,02-06-1979,45,Male,Married,2,4,Secondary,6740,1,0,35,68,58,-0.42,-0.5,-0.59,6,0.73,0.29,0.14,5,2,2,0,1,1,1,64.59,0.36,0.94,0.18,4,5,1,0.3,-0.18,30,40,163,235.7,99,23,31,0.06,1
Henry Stewart,laura41@yahoo.com,(210)728-7092x1658,"1090 Williams Meadow, East Heatherside, AR 89295",Production manager,08-08-1988,36,Female,Married,1,2,Primary,3452,0,1,40,30,63,0.42,-0.42,1.57,4,0.03,0.26,0.49,9,1,1,1,1,7,0,75.32,0.94,0.72,0.16,3,0,5,0.17,0.22,63,22,355,109.4,65,84,29,0.23,4
John Crawford,jenkinsashley@hotmail.com,(838)842-4262x181,"Unit 4483 Box 8524, DPO AE 80408",Print production planner,25-10-1982,42,Male,Divorced,1,3,Primary,3148,0,1,30,11,54,-0.59,-1.18,1.18,4,0.3,0.65,0.1,4,3,0,0,1,8,0,11.04,0.1,0.81,0.17,0,138,3,0.24,0.35,50,36,47,134.2,36,17,20,0.32,7
Debbie Ross,chaneyjames@yahoo.com,924-667-6322,"82905 Christopher Prairie Suite 828, East Evan, AK 31512",Fitness centre manager,08-02-2002,22,Male,Married,3,4,Secondary,2100,1,0,51,33,86,-0.73,-0.86,-0.2,5,1,0.69,0.98,9,6,3,1,3,0,3,20.28,0.9,0.78,0.17,2,141,12,0.21,0.14,38,42,242,0,31,21,51,0.09,0
Shaun Cervantes,nwhite@gmail.com,(842)353-3906x4809,"7228 Morgan Roads Apt. 942, Patrickburgh, WV 95152",Dramatherapist,27-11-1990,34,Female,Single,2,3,Primary,1959,1,0,31,160,62,0.98,-1,-1.24,3,0.73,0.68,0.99,2,3,3,0,6,6,2,14.9,1.82,0.86,0.14,4,137,0,0.09,0.35,38,31,98,183,64,108,3,0.05,0
Christina Brown,cynthia91@yahoo.com,+1-271-347-8403x16051,"94044 Steven Drive, Seanborough, OH 82092",Medical laboratory scientific officer,23-06-1993,31,Male,Single,1,3,Primary,2251,0,0,13,31,28,0.93,-0.56,1.93,9,0.57,0.83,0.76,2,7,3,1,2,1,3,49.45,0.07,0.85,0.31,5,48,3,0.18,0.52,48,17,203,131.3,69,65,0,0.24,0
Tracey Hernandez,justinholloway@hotmail.com,(334)682-3232x06411,"PSC 9083, Box 7042, APO AP 47122",Newspaper journalist,11-08-1972,52,Female,Married,1,3,Secondary,3356,1,0,40,27,23,-0.52,0.25,-0.23,3,0.1,0.08,0.74,6,5,3,4,1,9,1,27.18,0.89,0.93,0.19,3,100,0,0.23,-0.24,50,16,277,189.1,62,10,46,0.13,0
Philip Steele,bryanwilcox@hotmail.com,262-892-3897x7035,"676 Victoria Camp Apt. 586, West Emilyfort, MN 93538",Chiropodist,31-12-1992,32,Male,Married,0,1,Primary,3628,1,0,55,91,46,0.06,0.07,1.7,3,0.57,0.89,0.33,5,3,2,1,6,0,1,28.22,0.73,0.8,0.24,0,76,4,0.23,0.05,18,7,178,30.4,41,59,47,0.15,2
Christopher Lee,jeremy44@hotmail.com,(220)522-3813,"80461 Christina Via, East Megan, MT 77203",Applications developer,08-09-1981,43,Male,Single,0,2,Secondary,2693,1,1,41,102,73,-0.75,-1.84,-0.62,4,0.87,0.14,0.25,4,5,1,1,8,3,1,32.51,1.58,0.69,0.13,3,192,0,0.08,0.25,45,45,201,157,0,21,33,0.17,0
Karen Mendoza,charles83@yahoo.com,001-769-591-6779,"51947 Matthew Rapids Suite 984, New Donaldhaven, KS 64756",Local government officer,14-11-1994,30,Male,Single,3,5,Secondary,2615,0,0,42,18,5,-0.78,-0.6,0.62,4,0.35,0.65,0.87,3,3,0,0,3,7,2,53.74,0.55,1,0.21,0,168,16,0.48,0.22,40,61,151,188.4,69,45,0,0,1
Lisa Baker,michael47@hotmail.com,(459)466-5476,"Unit 6406 Box 0385, DPO AA 52200",Television/film/video producer,02-07-2005,19,Male,Married,0,2,Secondary,2245,0,1,32,31,6,-3.01,-1.56,0.58,2,0.59,0.36,0.1,4,3,2,0,2,1,3,18.73,1.15,0.86,0.14,4,85,8,0,0.02,44,37,235,268.4,68,40,18,0.17,6
Steven Lopez,pbishop@hotmail.com,568.754.4442,"879 Olson Mall Apt. 613, West Laurietown, IN 60263",Advertising account executive,28-02-1983,41,Male,Single,1,3,Tertiary,2068,1,1,50,2,3,-0.94,-1.5,1.14,2,0.11,0.23,0.8,3,5,1,2,5,3,1,23.59,0.39,0.83,0.07,2,127,2,0.13,0.12,30,30,79,248.7,71,9,30,0.18,5
Mike Burke,jerryjennings@yahoo.com,466.393.6308,"91580 Lopez Flat, New Kathryn, CO 26761",Mining engineer,16-10-1983,41,Female,Married,0,1,Primary,6698,1,0,12,47,59,-0.29,0.68,1.07,3,0.44,0.15,0.38,8,5,1,0,4,6,5,46.69,0.67,0.83,0.25,1,168,6,0.24,-0.13,58,13,88,0,42,8,30,0.39,1
Michael Gordon,brandonscott@yahoo.com,627-694-3759x149,"07405 Linda Plaza, Martinburgh, KY 24190","Designer, industrial/product",19-10-1992,32,Male,Single,3,5,Tertiary,1771,1,0,7,7,22,0.17,0.53,-0.56,3,0.67,0.64,0.15,11,3,2,1,6,5,2,19.05,0.65,0.88,0.18,1,125,9,0.14,-0.33,75,18,58,386.8,45,73,0,0.16,1
Richard White,darrell36@gmail.com,+1-875-972-5338x2615,"2845 Sullivan Port Suite 606, West Michaelborough, MO 01408",Forensic psychologist,04-01-2006,18,Male,Single,3,5,Secondary,1169,1,0,12,72,51,2.08,-0.11,-0.16,5,0.03,0.32,0.59,4,6,3,3,1,5,1,56.33,1.2,1,0.14,3,89,1,0.26,-0.18,43,37,88,182.8,71,0,4,0.17,2
Amanda Scott,michaelhodges@yahoo.com,(884)656-7670x455,"3919 Tiffany Vista, North Andrea, NC 55379","Psychologist, occupational",28-08-2001,23,Female,Single,0,1,Secondary,1678,0,1,23,28,45,-0.99,-0.16,-2,3,0.14,0.35,0.25,6,4,1,0,1,10,6,26.47,0.93,0.85,0.24,1,137,9,0.34,-0.26,55,5,216,0,0,80,19,0.27,0
Matthew Watkins,bowendavid@yahoo.com,(408)643-9103,"Unit 8698 Box 6378, DPO AA 02272","Biochemist, clinical",05-09-1973,51,Male,Married,0,1,Secondary,3229,1,0,6,37,49,-0.6,0.86,-1.43,5,0.09,0.66,0.61,2,2,2,0,2,4,2,18.73,0.79,0.84,0.05,5,0,4,0.11,0.61,34,40,77,191.4,6,5,21,0.12,4
Richard Jones DVM,brianbuck@hotmail.com,(420)627-5904x78027,"79731 Lewis River, Woodhaven, VT 24132",Manufacturing engineer,08-10-1980,44,Female,Married,2,3,Secondary,3210,0,1,15,15,34,0.97,-0.05,-0.62,7,0.72,0.45,0.64,4,4,5,0,6,3,1,17.68,1.1,0.75,0.27,1,150,0,0,0.31,58,41,270,106.1,41,68,0,0.13,2
Dr. Tiffany Patterson,apeters@hotmail.com,+1-644-545-8086x175,"3053 Craig Orchard, North Keithport, GA 41264",Hydrographic surveyor,21-05-1980,44,Female,Married,0,1,Secondary,1853,0,0,32,121,2,-0.74,-1.55,-0.09,3,0.45,0.05,0.43,6,8,0,2,4,2,2,14.61,1.01,0.79,0.1,5,60,6,0.14,0.13,33,41,337,221.3,53,49,18,0.13,1
Christina Manning,stonematthew@yahoo.com,001-958-276-9935,"74018 Seth Ways, Fletcherland, WA 09304","Administrator, Civil Service",26-04-1982,42,Female,Married,1,2,Tertiary,1346,1,0,48,58,13,-0.16,-1.61,-0.64,3,0.84,0.85,0.31,9,2,0,2,8,3,2,40.71,1.03,0.97,0.05,1,155,7,0.29,0.25,39,23,343,49.5,28,66,0,0,1
Robert Hoffman,kramerjesus@gmail.com,790.782.6481x4148,"Unit 0608 Box 9026, DPO AP 44797","Engineer, production",06-08-1988,36,Male,Single,0,2,Secondary,2603,0,1,52,26,17,1.42,-0.33,-1.46,5,0.29,0.32,0.57,0,3,0,0,4,3,0,13.8,0.05,0.9,0.12,4,40,10,0.33,0.61,34,46,93,129.5,52,0,0,0.23,4
Shelley Hernandez,inewman@gmail.com,342-862-2466x044,"15865 Jennifer Trail Apt. 301, Staceystad, NY 64876",Accounting technician,24-07-1987,37,Male,Divorced,1,2,Tertiary,3024,1,1,59,100,11,0.42,-0.5,1.44,5,0.35,0.18,0.43,3,4,3,1,5,8,1,21.42,1.11,0.87,0.04,3,45,6,0.39,0.37,60,59,332,0,1,0,3,0.12,3
Shawn Duarte,haledaniel@gmail.com,+1-846-390-9606x4433,"USNV Hobbs, FPO AE 46401",Senior tax professional/tax inspector,10-12-1974,50,Female,Married,1,3,Secondary,4349,1,1,35,65,15,0.05,0.23,0.16,5,0.3,0.12,0.5,6,4,0,2,3,3,2,68.25,1.6,0.75,0.16,4,97,3,0.1,0.28,39,6,232,110.1,21,69,41,0,0
Martin Lewis,fbridges@gmail.com,5537750890,"877 Tiffany Manors Apt. 287, Port Keith, MT 71078","Horticulturist, commercial",24-01-2001,23,Male,Single,2,3,Secondary,2432,0,1,21,56,58,-2.05,0.16,-1.16,4,0.79,0.59,0.04,4,5,0,1,5,0,3,10.78,0.46,0.48,0.17,5,110,9,0.23,0.32,51,32,336,127.2,59,22,54,0.15,1
Mary Edwards,dward@hotmail.com,503-618-2956x3660,"023 Brian Place, New Raymondtown, RI 46981",English as a foreign language teacher,22-02-1973,51,Male,Married,2,3,Secondary,3133,0,1,66,110,47,-0.29,-1.07,-0.59,4,0.69,0.19,0.55,5,5,0,0,1,4,3,38.88,0.19,0.64,0.08,4,57,7,0.09,0.21,41,17,128,185.1,81,0,24,0,4
Christine Chang,andersonallison@yahoo.com,(790)788-8658,"030 Waters Roads, Port Andrewport, ME 29496",Insurance account manager,01-11-1982,42,Male,Single,1,2,Primary,1956,0,1,30,101,19,0.3,0.15,-0.51,7,0.18,0.06,0.95,6,4,3,0,4,3,1,37.31,1.16,0.83,0.26,5,148,4,0.19,0.18,44,7,158,142.4,70,54,5,0.16,2
Natalie Jackson,brittanywalker@gmail.com,839.273.8005,"3648 David Views Suite 307, South Daniellemouth, AR 35405","Editor, commissioning",14-08-2002,22,Male,Single,4,5,Secondary,2033,0,0,52,19,14,-0.52,-0.72,-1.09,4,0.16,0.61,0.38,5,9,0,3,3,5,3,13.27,1.06,0.61,0.21,2,89,3,0.09,-0.28,3,36,256,4.9,38,58,32,0.15,0
Christine Rivas,stevenmason@hotmail.com,298.752.5506x146,"9540 Smith Knoll Suite 010, North Tina, OH 66373",Database administrator,06-07-1986,38,Female,Single,2,4,Primary,2554,0,0,9,19,36,-0.93,0.42,-0.66,4,0.17,0.33,0.8,3,8,3,0,4,1,1,24.14,0.41,0.47,0.28,4,0,0,0.15,0.36,34,35,188,106.3,73,103,42,0.19,4
Kevin Snyder,kathyvasquez@hotmail.com,001-282-514-3622x968,"3953 Barajas Oval Suite 839, Payneborough, NE 94416",Homeopath,27-08-1983,41,Male,Married,2,3,Secondary,1615,1,0,29,61,87,-0.2,0.06,1.44,5,0.66,0.54,0,7,2,1,1,2,3,1,38.67,0.69,0.81,0.15,3,73,8,0.11,0.5,8,2,187,219.1,90,9,57,0.27,0
Cheryl Ryan,kimcunningham@yahoo.com,394.555.2266x7273,"415 Clark Islands Suite 942, Lake Michael, CT 94782","Production assistant, radio",14-06-1990,34,Female,Single,3,4,Tertiary,5970,1,1,47,101,15,-1.09,1.66,-0.12,6,0.97,0.16,0.21,4,7,0,1,3,7,3,21.81,0.92,0.78,0.1,1,89,6,0.36,0.44,43,2,390,116.2,28,51,40,0.04,1
Diana Stewart,velazquezthomas@hotmail.com,-3094,"40585 Nunez Fields, Port Beverlytown, AK 18139",Operations geologist,25-12-1997,27,Male,Divorced,2,3,Secondary,3025,1,1,36,72,66,-0.92,-0.3,0.21,3,0.97,0.85,0.27,7,4,2,0,1,2,0,48.32,0.18,0.84,0,1,77,3,0.15,-0.31,15,39,436,199.5,0,55,0,0,1
Adam Flores,nmercer@yahoo.com,001-692-365-1257x8075,"916 Craig Dale Apt. 755, Port Michaelborough, OR 21567",Youth worker,26-04-2005,19,Male,Married,3,5,Tertiary,2393,0,0,44,25,43,-1.1,-1.69,-0.16,7,0.64,0.15,0.53,7,3,2,0,2,8,2,61.19,1.11,0.77,0.31,5,168,10,0.53,0.44,29,32,191,0,0,9,0,0.13,1
Katie Jackson,prodriguez@yahoo.com,001-542-834-2007x9160,"6394 Moore Shoals Apt. 645, Lake James, IN 44257",Lawyer,14-06-2002,22,Male,Single,1,2,Secondary,1595,0,1,55,34,54,-1.37,-0.2,1.68,5,0.94,0.74,0.75,6,3,0,0,1,5,1,15.16,1.04,0.68,0.19,3,58,0,0.05,0.16,19,10,408,0,15,0,27,0.06,1
Crystal Anderson,carolsmith@hotmail.com,-7973,"642 Heather Meadow, Lake Steven, TN 98902",Architect,02-12-1994,30,Male,Married,0,1,Primary,2491,0,0,21,96,58,0.4,0.08,-2.18,4,0.3,0.71,0.1,1,3,1,0,6,5,3,46.18,0.89,0.8,0.3,5,154,12,0.23,0.06,47,9,60,127.6,25,0,37,0.1,3
Clinton Davis,jacobwebb@gmail.com,(461)718-5724x4643,"2108 Lawrence Station, Port Ryanport, NM 89608",Press sub,18-01-2000,24,Female,Married,3,4,Tertiary,6408,0,0,39,36,60,0.22,-1.49,-1.25,3,0.61,0.54,0.58,2,4,3,0,3,0,2,18.81,1.11,0.86,0.22,4,102,6,0.18,0.24,66,40,370,3.8,93,0,12,0.11,2
Larry Terry,bmccarthy@hotmail.com,824.586.5456,"3456 Frank Ways Suite 516, Millerhaven, AL 90115",Make,10-12-1976,48,Female,Single,2,4,Primary,2719,0,1,60,76,17,0.2,0.48,3.53,6,0.91,0.24,0.44,3,4,0,0,5,5,1,101.31,0.57,0.97,0.08,2,131,0,0.08,-0.14,37,9,115,189.9,38,18,42,0.17,2
Troy Porter,knightdenise@hotmail.com,629.662.2249,"PSC 3197, Box 1040, APO AA 70194",TEFL teacher,23-01-1987,37,Male,Single,1,3,Secondary,7539,1,0,47,20,57,-0.69,1.36,0.33,3,0.67,0.02,0.83,4,1,0,0,5,10,1,44.56,0.63,0.58,0.03,1,0,9,0.48,-0.02,52,20,36,132.6,85,0,35,0.18,2
Christopher Perez,william22@yahoo.com,-6514,"23470 Christy Divide Apt. 468, Port Nicoleland, KY 47517",Bookseller,31-12-2006,18,Male,Single,1,3,Secondary,3643,1,0,44,5,5,-0.82,0.73,-1.04,2,0.01,0.83,0.22,4,2,2,0,0,4,6,16.49,0.66,0.7,0.12,2,117,6,0.32,-0.27,28,23,225,139.1,56,6,0,0.29,2
Nicole Ferrell,christina41@hotmail.com,9398101634,"9457 Michelle Court, West Jenna, OK 04926","Civil engineer, contracting",21-10-1983,41,Male,Single,2,4,Secondary,4843,0,0,31,50,45,0.23,0.12,-0.44,3,0.95,0.87,0.44,4,5,1,1,1,7,3,41.47,0.66,0.67,0.09,1,9,8,0.15,-0.02,100,35,168,216.5,35,17,1,0.36,3
Anna Palmer,cheryl96@gmail.com,231-992-2933x425,"39591 White Ridges, Kingside, LA 15716",Commercial art gallery manager,07-03-1985,39,Male,Married,2,4,Primary,1417,0,0,3,29,9,0.4,-0.44,-0.77,7,0.25,0.29,0.71,8,5,3,0,5,3,2,36.64,0.87,0.77,0.3,0,49,4,0.31,-0.1,67,0,207,257.3,60,32,48,0.16,1
Omar Watson,millerbenjamin@gmail.com,+1-572-968-5023x677,"1068 George Land, Port Norman, AL 53436","Buyer, retail",01-05-1987,37,Female,Married,3,4,Secondary,7930,1,0,63,7,19,1.82,-1.58,0.32,6,0.42,0.45,0.5,1,3,2,2,2,3,2,15.13,0.94,1,0.26,0,161,1,0.39,0.26,15,19,111,80,66,50,28,0.1,1
Jason Flynn,peterskaitlyn@yahoo.com,717.614.6753,"605 Kathryn Hills Apt. 895, Williamsborough, FL 16096","Presenter, broadcasting",19-07-1984,40,Male,Single,2,4,Primary,2869,1,0,59,26,37,-0.14,-1.31,-2.81,4,0.46,0.75,0.31,5,3,2,0,2,3,2,29.85,1.06,1,0.06,0,76,4,0.19,0.14,44,7,172,91.8,123,39,50,0.05,3
Linda Brennan,sandra29@yahoo.com,+1-234-991-8268x415,"042 Monroe Stravenue Apt. 822, Morrisburgh, PW 61556","Scientist, audiological",12-03-1980,44,Male,Married,1,3,Primary,1069,0,1,21,67,41,-1.34,0.04,-0.18,1,0.24,0.56,0.87,4,6,3,0,2,7,0,29.62,0.6,0.86,0.11,4,119,8,0.06,0.05,47,19,182,326,106,12,35,0.12,5
Donald Martinez,edwardhenry@gmail.com,937-228-5655,"8100 William Spring Suite 506, New Josehaven, IA 46909",Information officer,28-11-1980,44,Male,Single,0,1,Secondary,5087,1,1,6,11,56,-1.6,-1.14,-1.61,6,0.21,0.52,0.49,10,3,2,2,5,3,5,34.38,0.24,0.78,0.17,2,187,12,0.12,-0.55,55,45,172,378.1,38,0,56,0,1
Suzanne Ball,santoslinda@hotmail.com,222.503.6344x125,"7589 Farrell Viaduct Suite 536, South Brianmouth, IA 35702",Commercial/residential surveyor,20-06-1978,46,Female,Married,0,1,Secondary,2810,0,0,40,63,11,0.89,-2.5,-0.86,2,0.64,0.92,0.39,1,2,1,0,2,4,3,9.15,1.38,0.86,0.28,4,96,1,0.27,0.4,66,0,188,12,15,39,0,0.09,0
Crystal Williams,fhernandez@hotmail.com,252.875.7298x1004,"15447 Fischer Fords, North Danielborough, WI 35644",Legal secretary,21-07-1979,45,Male,Married,5,6,Secondary,3371,0,1,1,11,61,0.67,-0.06,0.58,5,0.25,0.57,0.69,2,6,2,2,5,8,0,123.9,0.66,0.82,0.07,4,118,8,0,0.73,1,18,334,304.7,46,22,51,0.14,0
Diane Bryant,keith95@hotmail.com,266.773.5336x2691,"3029 Austin Crossroad, East Matthewstad, PA 66841","Civil engineer, consulting",26-04-1980,44,Male,Married,3,5,Secondary,3770,1,1,32,15,17,-1.88,0.87,-0.74,4,0.42,0.39,0.82,5,8,1,1,7,0,3,4.42,0.82,0.89,0.03,3,104,7,0.17,0.36,43,17,485,243.6,49,29,26,0.07,0
Jacob Adams,william08@gmail.com,(991)684-5427x745,"Unit 6432 Box 3668, DPO AA 05545","Administrator, arts",27-04-1983,41,Male,Single,0,2,Secondary,4159,0,0,6,39,12,-2.79,-0.06,0.64,5,0.96,0.59,0.47,8,5,2,1,3,3,0,16.4,0.55,0.76,0.27,3,217,12,0.01,0.01,37,21,53,158.7,86,95,14,0.1,5
Melissa Oneill,tyoung@gmail.com,+1-460-822-5865x252,"13059 Wiley Summit, South Ian, NY 25701",Recruitment consultant,27-11-1993,31,Female,Single,1,3,Secondary,4244,0,1,20,26,44,-0.88,1.43,2.04,3,0.74,0.04,0.7,0,5,3,0,2,3,3,80.9,1.3,0.73,0.12,5,90,11,0,0.08,66,28,0,14.1,0,0,44,0.16,0
Joseph Wagner MD,hhoward@hotmail.com,963.656.2434x47071,"62151 John Spur, South Sarah, AZ 66792",Fine artist,29-06-1985,39,Male,Divorced,0,1,Secondary,4723,0,0,2,48,31,1.13,0.1,1.85,5,0.85,0.16,0.75,8,6,0,0,2,6,2,34.63,0.72,1,0.14,3,138,1,0.24,0.24,26,35,112,0,0,77,55,0.4,1
Thomas Ellis,eugenesmith@hotmail.com,+1-780-518-8224x68316,"559 Brian Glen Apt. 510, Garciatown, VI 16242",Barrister's clerk,14-09-1985,39,Male,Single,3,5,Primary,3561,0,0,36,15,13,0.92,0.2,1.24,4,0.09,0.22,0.42,5,5,1,1,2,9,3,29.98,0.85,0.71,0.34,3,159,10,0.05,0.28,35,39,370,0,4,40,40,0.23,0
Kevin Harding,smithray@hotmail.com,(912)327-0310x3073,"85320 Edward Camp, Stephaniemouth, TX 86248","Engineer, site",15-03-2006,18,Female,Single,2,3,Secondary,3386,0,0,57,8,41,-0.46,0.32,1.33,1,0.68,0.32,0.79,3,4,1,0,2,2,2,21.07,1.23,0.95,0.11,1,106,2,0.32,0.16,62,12,315,60.5,69,0,0,0.14,2
